key,en,ca,cs,de,es,fr,id,it,ja,ko,pl,pt,ru,th,tr,vi,zh
NUMBER_OF_PLANETS_INTO_STARS,Upgrade Planets to Stars,Millorar Planetas a Estrelles,Upgrady Planet na Hvězdy,Upgrades von Planeten zu Sternen,Mejora de Planetas a Estrellas,Améliorer les Planètes en Étoiles,Upgrade Planet ke Bintang,Aggiorna Pianeti a Stelle,惑星を星にアップグレード,행성을 별로 업그레이드,Ulepszanie Planet do Gwiazd,Atualizar Planetas para Estrelas,Обновлять планеты в звезды,การอัปเกรดดาวเป็นดาว,Gezegenleri Yıldızlara Yükselt,Nâng Cấp Hành Tinh Thành Sao,将行星升级为恒星
SPECIAL_ASTEROID_RADIOACTIVE_AOE_SCALE,Radioactive Radius,radi radioactiu,Radioaktivní poloměr,Radioaktiver Radius,Radio radiactivo,Rayon radioactif,Radius Radioaktif,Raggio radioattivo,放射能半径,방사능 반경,Promień radioaktywny,Raio radioativo,Радиоактивный радиус,รัศมีกัมมันตรังสี,Radyoaktif Yarıçap,Bán kính phóng xạ,放射性半径
COMET_CRIT_BONUS_DAMAGE_BUFF_SCALE,Comet Buff Bonus Crit Damage to Breaker,Boni de Dany Crític de Buff de Comet,Bonus za Kritické Poškození Buffu Komety,Kometen-Buff kritischer Schaden für Brecher,Daño Crítico adicional del don Cometa Crítico,Bonus de Dégâts Critiques de Buff de Comète Critique,Bonus Damage Kritis Buff Komet Kritis,Bonus Danno Critico del Buff Cometa Critica,クリティカル彗星バフボーナスクリティカルダメージ,치명타 혜성 보너스 치명타 피해,Bonus Krytycznych Obrażeniem Krytycznej Komety,Bônus de Dano Crítico do Buff do Cometa Crítico,Бонусный критический урон критической кометы,โบนัสความเสียหายวิกฤตดาวหาง,Kritik Kuyruklu Yıldız Buff Bonus Kritik Hasarı,Tiền Thưởng Sát Thương Kích Cỡ Sao Chổi,暴击彗星额外暴击伤害
MILESTONE_REACHED,Milestone Reached,Fita Aconseguida,Zásah Milníku,Meilenstein erreicht,Objetivo alcanzado,Étape Atteinte,Tonggak Dicapai,Milestone Raggiunto,マイルストーン到達,도달한 이정표,Milestone Osiągnięte,Marco Atingido,Достигнута веха,ถึงเป้าหมาย,Eşik Ulaşıldı,Mốc Đã Đạt,里程碑达成
DAMAGE_TEXT,Floating Damage Text,Text de Dany flotant,Plovoucí Text Poškození,Schwebender Schadenstext,Texto flotante: Daño,Texte de Dégâts Flottant,Teks Damage Mengambang,Testo di Danno Fluttuante,浮遊するダメージのテキスト,떠다니는 피해 텍스트,Pływający Tekst Obrażeń,Texto de Dano Flutuante,Плавающий текст урона,ข้อความความเสียหายลอย,Yüzen Hasar Metni,Văn Bản Sát Thương Nổi,浮动伤害文本
SESSION_START_TEXT,Feed the Black Hole,Sopar al Forat Negre,Nakrmte Černou Dírku,Das Schwarze Loch füttern,Alimenta al Agujero negro,Nourrir le Trou Noir,Memberi Makan Lubang Hitam,Nutri il Buco Nero,ブラックホールに物質を与える,블랙홀 먹이주기,Nakarm Czarną Dziurę,Alimentar o Buraco Negro,Кормить черную дыру,ให้อาหารหลุมดำ,Kara Delik Besleme,Cho Lỗ Đen Ăn,喂养黑洞
FULLSCREEN,Full Screen,Pantalla Completa,Celá Obrazovka,Vollbild,Pantalla completa,Plein Écran,Layar Penuh,Schermo Intero,フルスクリーン,전체 화면,Pełny Ekran,Tela Cheia,На весь экран,เต็มหน้าจอ,Tam Ekran,Toàn Màn Hình,全屏
COMET_CHANCE_FOR_COMET_SHOWER,Chance for a Comet Shower,Probabilitat de Xàfec de Cometes,Šance na Déšť Komet,Chance auf einen Kometenschauer,Probabilidad de una Lluvia de Cometas,Chance d'une Pluie de Comètes,Peluang untuk Hujan Komet,Probabilità di un Rovina di Comete,彗星シャワーのチャンス,혜성 내리는 확률,Szansa na Deszcz Komety,Chance para um Chuva de Cometas,Шанс для метеоритного дождя,โอกาสในการเกิดดาวหาง,Kuyruklu Yıldız Yağmuru Şansı,Cơ Hội Cho Một Cơn Mưa Sao Chổi,彗星雨的机会
CHANCE_TO_RESPAWN_PLANET_ON_BREAK,Chance to Spawn New Planet when a Planet is Destroyed,Probabilitat de Generar Nou Planeta quan un Planeta és Destruït,"Šance na Vytvoření Nové Planety, když je Planeta Zničena","Chance, einen neuen Planeten zu spawnen, wenn ein Planet zerstört wird",Probabilidad de generar otro Planeta al destruir un Planeta,Chance de Faire Apparaître une Nouvelle Planète lorsque une Planète est Détruite,Peluang untuk Munculnya Planet Baru saat Planet Dihancurkan,Probabilità di Generare un Nuovo Pianeta quando un Pianeta viene Distrutto,惑星が破壊されたときに新しい惑星を生成するチャンス,행성이 파괴될 때 새로운 행성을 생성할 확률,"Szansa na Pojawienie się Nowej Planety, gdy Planeta Zostaje Zniszczona",Chance de Gerar Novo Planeta quando um Planeta é Destruído,"Шанс спавна новой планеты, когда планета разрушена",โอกาสในการเกิดดาวเคราะห์ใหม่เมื่อดาวเคราะห์ถูกทำลาย,Bir Gezegen Yok Edildiğinde Yeni Bir Gezegen Doğurma Şansı,Cơ Hội Sinh Ra Hành Tinh Mới Khi Một Hành Tinh Bị Phá Hủy,摧毁行星时生成新行星的机会
CHANCE_TO_ADD_TIME_ON_STAR_DESTROYED,Chance to Add Time when a Star is Destroyed,Probabilitat d'Afegir Temps quan una Estrella és Destruïda,"Šance na Přidání Času, když je Hvězda Zničena","Chance, Zeit hinzuzufügen, wenn ein Stern zerstört wird",Probabilidad de añadir tiempo al destruir una Estrella,Chance d'Ajouter du Temps lorsque une Étoile est Détruite,Peluang untuk Menambah Waktu saat Bintang Dihancurkan,Probabilità di Aggiungere Tempo quando una Stella viene Distrutta,星が破壊されたときに追加される時間のチャンス,별이 파괴될 때 시간 추가 확률,"Szansa na Dodanie Czasu, gdy Gwiazda Zostaje Zniszczona",Chance de Adicionar Tempo quando uma Estrela é Destruída,"Шанс добавить время, когда звезда разрушена",โอกาสในการเพิ่มเวลาเมื่อดาวถูกทำลาย,Bir Yıldız Yok Edildiğinde Zaman Ekleme Şansı,Cơ Hội Thêm Thời Gian Khi Một Sao Bị Phá Hủy,摧毁恒星时增加时间的机会
COMPLETE_MAIN_MODE_TO_UNLOCK,Complete the Main Game Mode to Unlock,Completa el mode de joc principal per desbloquejar,Dokončete hlavní herní režim pro odemčení,"Schließe den Hauptspielmodus ab, um ihn freizuschalten",Completa el modo principal para desbloquearlo.,Terminez le mode de jeu principal pour débloquer,Selesaikan Mode Permainan Utama untuk Membuka Kunci,Completa la modalità di gioco principale per sbloccare,メインゲームモードを完了するとロックが解除されます,메인 게임 모드를 완료하여 잠금 해제하세요,"Ukończ główny tryb gry, aby odblokować",Conclua o Modo de Jogo Principal para desbloquear,"Пройдите основной игровой режим, чтобы разблокировать",เล่นโหมดเกมหลักให้จบเพื่อปลดล็อก,Ana Oyun Modunu Tamamlayarak Kilidi Açın,Hoàn thành Chế độ Chơi Chính để Mở khóa,完成主线游戏模式即可解锁
SATURDAY_SHORT,Sat,Ds,So,Sa,Sáb,Sam,Sab,Sab,土,토,So,Sáb,Сб,ส.,Cmt,T7,六
MAX_PLANET_SIZE,Planet Size,Mida del Planeta,Velikost Planety,Größe der Planeten,Tamaño de los Planetas,Taille de Planète,Ukuran Planet,Dimensione del Pianeta,惑星のサイズ,행성 크기,Rozmiar Planety,Tamanho do Planeta,Размер планеты,ขนาดดาวเคราะห์,Gezegen Boyutu,Kích Thước Hành Tinh,行星大小
LASER_WIDTH_SCALE,Laser Width,Amplada Làser,Šířka Laseru,Laserbreite,Ancho del Láser,Largeur de Laser,Lebar Laser,Larghezza del Laser,レーザーの幅,레이저 너비,Szerokość Lasera,Largura do Laser,Ширина лазера,ความกว้างเลเซอร์,Lazer Genişliği,Chiều Rộng Laser,激光宽度
NEW_GAME,New Game,Nou Joc,Nová Hra,Neues Spiel,Partida nueva,Nouvelle Partie,Permainan Baru,Nuovo Gioco,新しいゲーム,새 게임,Nowa Gra,Novo Jogo,Новая игра,เกมใหม่,Yeni Oyun,Trò Chơi Mới,新游戏
COMET_CRIT_CHANCE_SPAWN_CHANCE,Comet Spawn Chance (Buff: Breaker Auto Crits),Probabilitat de Generar Comet Crític,Šance na Kritické Zplození Komety,Chance auf kritischen Kometen-Spawn,Probabilidad de generar un Cometa Crítico,Chance d'Apparition de Comète Critique,Peluang Munculnya Komet Kritis,Probabilità di Generazione di Comete Critiche,クリティカル彗星生成チャンス,치명타 혜성 생성 확률,Szansa na Pojawienie się Krytycznej Komety,Chance de Spawn de Cometa Crítico,Шанс спавна критической кометы,โอกาสการเกิดดาวหางวิกฤต,Kritik Kuyruklu Yıldız Doğurma Şansı,Cơ Hội Sinh Ra Sao Chổi Kích Cỡ,暴击彗星生成机会
SPECIAL_STAR_ELECTRIC_CRIT_BONUS,Electric Star  Critical Damage Bonus,Boni de Dany Crític d'Estrella Elèctrica,Bonus za Kritické Poškození Elektrické Hvězdy,Bonus für kritischen elektrischen Sternenschaden,Daño crítico adicional de las Estrellas Eléctricas,Bonus de Dégâts Critiques d'Étoile Électrique,Bonus Damage Kritis Bintang Listrik,Bonus Danno Critico della Stella Elettrica,電気星クリティカルダメージボーナス,전기 별 치명타 보너스,Bonus Krytycznych Obrażeniem Elektrowej Gwiazdy,Bônus de Dano Crítico de Estrela Elétrica,Бонус критического урона электрической звезды,โบนัสความเสียหายวิกฤตดาวไฟฟ้า,Elektrikli Yıldız Kritik Hasar Bonusu,Tiền Thưởng Sát Thương Kích Cỡ Sao Điện,电气星球暴击伤害奖励
CLICKER_ELECTRIC_CLICKS_TO_START_WITH,Breaker Electric Charges,Càrregues elèctriques de l'interruptor,Elektrické náboje jističe,Elektrische Ladungen des Schutzschalters,Cargas eléctricas del Rompedor,Charges électriques du disjoncteur,Pemutus Arus Listrik,Cariche elettriche dell'interruttore,ブレーカーの電気料金,차단기 전기 요금,Wyłącznik ładunków elektrycznych,Cargas elétricas do disjuntor,Электрические заряды выключателя,เบรกเกอร์ไฟฟ้า,Kesici Elektrik Şarjları,Điện áp cầu dao,断路器电费
BREAKER_DAMAGE_THIS_SESSION,Breaker Damage,Dany de Breaker,Poškození Breakeru,Brecher-Schaden,Daño del Rompedor,Dégâts de Briseur,Damage Breaker,Danno del Frantumatore,ブレイカーのダメージ,브레이커 피해,Obrażenia Breakera,Dano do Quebrador,Урон разрушителя,ความเสียหายเบรกเกอร์,Kırıcı Hasarı,Sát Thương Đập,破坏者伤害
BLACK_HOLE,Block Hole Singularities,Singularitats de Forats Negres,Singularity Černé Díry,Schwarze-Loch-Singularitäten,Singularidades de Agujero negro,Singularités de Trou Noir,Singularitas Lubang Hitam,Singolarità del Buco Nero,ブラックホールの特異点,블록홀 특이점,Singularności Czarnej Dziury,Singularidades de Buraco Negro,Сингуларности черных дыр,ความดันหลุมดำ,Kara Delik Tekillikleri,Đặc Tính Lỗ Đen,黑洞奇点
CLICK_AOE,Breaker Radius,Radi de Breaker,Poloměr Breakeru,Brecher-Radius,Radio del Rompedor,Rayon de Briseur,Jarak Breaker,Raggio del Frantumatore,ブレイカーレイディウス,브레이커 반경,Promień Breakera,Raio do Quebrador,Радиус разрушителя,ระยะเบรกเกอร์,Kırıcı Yarıçapı,Bán Kính Đập,破坏者半径
BUY_UPGRADE,Buy Upgrade,Comprar Millora,Koupit Upgrade,Upgrade kaufen,Comprar mejora,Acheter Amélioration,Beli Upgrade,Acquista Aggiornamento,アップグレードを購入,업그레이드 구매,Kup Ulepszenie,Comprar Upgrade,Купить обновление,ซื้อการอัปเกรด,Yükseltme Al,Mua Nâng Cấp,购买升级
A GAME ABOUT FEEDING A BLACK HOLE,A GAME ABOUT FEEDING A BLACK HOLE,UN JOC SOBRE ALIMENTAR UN FORAT NEGRE,HRA O NAKRMITÍ ČERNÉ DÍRKY,EIN SPIEL ÜBER DAS FÜTTERN EINES SCHWARZEN LOCHES,UN JUEGO DE ALIMENTAR A UN AGUJERO NEGRO,UN JEU SUR NOURRIR UN TROU NOIR,SEBUAH PERMAINAN TENTANG MEMBERI MAKAN LUBANG HITAM,UN GIOCO SUL NUTRIMENTO DI UN BUCO NERO,ブラックホールに物質を与えるゲーム,블랙홀에 먹이를 주는 게임,GRA O KARMICIE CZARNĄ DZIURĘ,UM JOGO SOBRE ALIMENTAR UM BURACO NEGRO,Игра о кормлении черной дыры,เกมเกี่ยวกับการให้อาหารหลุมดำ,KARA DELİK BESLEME OYUNU,MỘT TRÒ CHƠI VỀ VIỆC CHO MỘT LỖ ĐEN ĂN,一个关于喂养黑洞的游戏
ELECTRIC_CLICKER,Electric Clicker,Clicker elèctric,Elektrický klikr,Elektrischer Klicker,Pulsador eléctrico,Clicker électrique,Pengklik Elektrik,Clicker elettrico,電動クリッカー,전자식 클릭커,Klikacz elektryczny,Clicker elétrico,Электрический кликер,เครื่องคลิกไฟฟ้า,Elektrikli Tıklayıcı,Máy bấm điện,电动点击器
BLACK_HOLE_PULSE,Black Hole Pulse,Pols del forat negre,Pulz černé díry,Schwarzes Loch Puls,Pulsaciónes del Agujero negro,Impulsion du trou noir,Denyut Lubang Hitam,Impulso del buco nero,ブラックホールパルス,블랙홀 펄스,Puls czarnej dziury,Pulso de buraco negro,Импульс черной дыры,ชีพจรหลุมดำ,Kara Delik Darbesi,Xung Lỗ Đen,黑洞脉冲
ROGUELIKE_MODE_DESCRIPTION,This mode is a work in progress where you choose 1 of 3 random upgrades. Balance changes and more content will be added based on feedback.,Aquest mode és un treball en progrés on tries 1 de 3 millores aleatòries. S'afegiran canvis d'equilibri i més contingut en funció dels comentaris.,"Tento režim je ve vývoji, kde si náhodně vyberete jedno ze 3 vylepšení. Změny vyvážení a další obsah budou přidány na základě zpětné vazby.",Dieser Modus befindet sich noch in der Entwicklung. Du wählst eine von drei zufälligen Verbesserungen. Basierend auf deinem Feedback werden Balance-Änderungen und weitere Inhalte hinzugefügt.,Este modo está en desarrollo y podrás elegir 1 de 3 mejoras aleatorias. Se añadirán cambios de equilibrio y más contenido según los comentarios.,Ce mode est en cours de développement : vous choisissez l’une des trois améliorations aléatoires. Des modifications d’équilibrage et du contenu supplémentaire seront ajoutés en fonction de vos retours.,Mode ini masih dalam pengembangan di mana Anda memilih 1 dari 3 peningkatan acak. Perubahan keseimbangan dan konten lainnya akan ditambahkan berdasarkan umpan balik.,Questa modalità è in fase di sviluppo e prevede la scelta casuale di 1 tra 3 potenziamenti. Modifiche al bilanciamento e altri contenuti verranno aggiunti in base ai feedback ricevuti.,このモードは現在開発中で、3つのアップグレードからランダムに1つを選択します。フィードバックに基づいてバランス調整とコンテンツの追加を予定しています。,"이 모드는 현재 개발 중이며, 세 가지 무작위 업그레이드 중 하나를 선택하게 됩니다. 피드백을 바탕으로 밸런스 조정 및 추가 콘텐츠가 제공될 예정입니다.","Ten tryb jest w trakcie realizacji, w którym wybierasz jedno z 3 losowych ulepszeń. Zmiany balansu i więcej zawartości zostaną dodane na podstawie opinii.","Este modo ainda está em desenvolvimento, onde você escolhe 1 de 3 melhorias aleatórias. Ajustes de balanceamento e mais conteúdo serão adicionados com base no feedback.","Этот режим находится в стадии разработки, и в нём вы выбираете одно из трёх случайных улучшений. Изменения баланса и добавление нового контента будут осуществляться на основе отзывов.",โหมดนี้ยังอยู่ในระหว่างการพัฒนา โดยคุณจะต้องเลือกการอัปเกรดแบบสุ่ม 1 ใน 3 แบบ การปรับสมดุลและเนื้อหาเพิ่มเติมจะถูกเพิ่มเข้ามาตามคำติชม,"Bu mod, üzerinde çalışılmakta olan ve 3 rastgele yükseltmeden birini seçtiğiniz bir moddur. Geri bildirimlere göre denge değişiklikleri ve daha fazla içerik eklenecektir.","Chế độ này vẫn đang trong quá trình phát triển, nơi bạn chọn 1 trong 3 nâng cấp ngẫu nhiên. Các thay đổi về cân bằng và nội dung bổ sung sẽ được thêm vào dựa trên phản hồi của người chơi.",此模式仍在开发中，您将从 3 个随机升级选项中选择 1 个。我们将根据反馈进行平衡性调整并添加更多内容。
TUESDAY_SHORT,Tue,Dt,Út,Di,Mar,Mar,Sel,Mar,火,화,Wt,Ter,Вт,อ.,Sal,T3,二
CLICKER_BONUS_DAMAGE_TO_PLANETS,Breaker Bonus Damage To Planets,Boni de Dany de Breaker a Planetes,Bonusové Poškození Breakeru na Planety,Bonus-Schaden des Brechers gegen Planeten,Daño adicional del Rompedor a Planetas,Dégâts Bonus de Briseur aux Planètes,Bonus Damage Breaker ke Planet,Danno Bonus del Frantumatore ai Pianeti,惑星へのブレイカーボーナスダメージ,브레이커의 행성에 대한 보너스 피해,Bonus Obrażenia Breakera dla Planet,Dano Bônus do Quebrador Para Planetas,Бонусный урон разрушителя для планет,ความเสียหายเบรกเกอร์ต่อดาวเคราะห์,Kırıcı Bonus Hasarı Gezegenlere,Tiền Thưởng Sát Thương Đập Tới Hành Tinh,对行星的破坏者额外伤害
V SYNC,V Sync,V Sync,V Synch,V-Sync,V Sync,V Synchronisation,V Sync,V Sync,Vシンク,V 동기화,V Sync,V Sync,Вертикальная синхронизация,V ซิงค์,V Senkronizasyonu,V Đồng Bộ,垂直同步
SPECIAL_STAR_CHANCE_TO_FORK,Electric Star  Chance to Fork,Probabilitat que l'Estrella Elèctrica es Dividixi,Šance na Rozvětvení Elektrické Hvězdy,"Chance, dass elektrische Sterne ein Gabelung haben",Probabilidad de bifurcar de las Estrellas Eléctricas,Chance de Fourcher d'Étoile Électrique,Peluang untuk Bercabang Bintang Listrik,Probabilità di Fork della Stella Elettrica,電気星が分岐するチャンス,전기 별 간격 갈라질 확률,Szansa na Rozgałęzienie Elektrowej Gwiazdy,Chance de Fork de Estrela Elétrica,Шанс разделения электрической звезды,โอกาสในการแยกดาวไฟฟ้า,Elektrikli Yıldız Dallanmada Şansı,Cơ Hội Để Phân Nhánh Sao Điện,电气星球分叉的机会
COMET_SPAWN_CHANCE,Comet Spawn Chance (Buff: Breaker Always Crits),Probabilitat de Generar Comet Crític,Šance na Kritické Zplození Komety,Chance auf kritischen Kometen-Spawn,Probabilidad de generar un Cometa Crítico,Chance d'Apparition de Comète Critique,Peluang Munculnya Komet Kritis,Probabilità Spawn Cometa Critica,クリティカル彗星生成チャンス,치명타 혜성 생성 확률,Szansa na Pojawienie się Krytycznej Komety,Chance de Spawn de Cometa Crítico,Шанс спавна критической кометы,โอกาสการเกิดดาวหางวิกฤต,Kritik Kuyruklu Yıldız Doğurma Şansı,Cơ Hội Sinh Ra Sao Chổi Kích Cỡ,暴击彗星生成机会
SPECIAL_STAR_LASER_SPAWN_CHANCE,Chance to Spawn Laser Stars,Probabilitat de Generar Estrelles Làser,Šance na Vytvoření Laserových Hvězd,"Chance, Lasersterne zu spawnen",Probabilidad de generar Estrellas Láser,Chance de Faire Apparaître des Étoiles Laser,Peluang untuk Munculnya Bintang Laser,Probabilità di Generare Stelle Laser,レーザースターを生成するチャンス,레이저 별 생성 확률,Szansa na Pojawienie się Laserowych Gwiazd,Chance de Gerar Estrelas a Laser,Шанс спавна лазерных звезд,โอกาสในการเกิดดาวเลเซอร์,Lazer Yıldızı Doğurma Şansı,Cơ Hội Sinh Ra Sao Laser,生成激光恒星的机会
UFO_ELECTRIC_CHARGES_TO_ADD,UFO Electric Charges to Add to Clicker,Càrregues Elèctriques d'OVNI a Afegir a Clicador,"Elektrické Nabíjení UFO, které se Přidává k Klikacímu",UFO-Elektrische Ladungen für den Klicker hinzuzufügen,Cargas eléctricas OVNI añadidas al Pulsador,Charges Électriques de OVNI à Ajouter au Clicker,Pengisian Listrik UFO untuk Ditambahkan ke Kliker,Cariche Elettriche di UFO da Aggiungere al Clic,クリック用のUFO電気チャージ,클리커에 추가할 UFO 전기 충전,Ładowania Elektryczne UFO do Dodania do Klikacza,Cargas Elétricas de UFO para Adicionar ao Clique,Электрические зарядки НЛО для добавления к клику,พลังงานไฟฟ้า UFO ที่จะเพิ่มเข้าไปในคลิกเกอร์,Tıklayıcıya Ekleyecek UFO Elektrik Yükleri,Sạc Điện UFO Để Thêm vào Nhấp Chuột,添加给点击器的 UFO 电气电荷
SPECIAL_STAR_CHAIN_DISTANCE_SCALE,Electric Star Chain Distance,Distància de Cadena d'Estrella Elèctrica,Vzdálenost Řetězce Elektrické Hvězdy,Kettendistanz elektrischer Sterne,Distancia de salto de las Estrellas Eléctricas,Distance de Chaîne d'Étoile Électrique,Jarak Rantai Bintang Listrik,Distanza della Catena della Stella Elettrica,電気星のチェーン距離,전기 별 연쇄 거리,Odległość Łańcucha Elektrowej Gwiazdy,Distância da Corrente de Estrela Elétrica,Расстояние цепи электрической звезды,ระยะห่างการเชื่อมต่อดาวไฟฟ้า,Elektrikli Yıldız Zincir Mesafesi,Khoảng Cách Chuỗi Sao Điện,电气星球连锁距离
PAN TREE,Pan Tree,Panoràmica,Pohyb Stromu,Baum schwenken,Ajustar,Panorama d'Arbre,Seret Pohon,Panoramica dell'Albero,パンツリー,패닝 트리,Pan Drzewo,Pan Tree,Перетаскивание дерева,แพนต้นไม้,Ağaç Pan,Pan Cây,平移树
COMET_MAX_NUMBER_TO_SPAWN,Max Comets to Spawn,Màxim de Cometes a Generar,Max. Komety k Vytvoření,Maximale Kometen zu spawnen,Número máximo de Cometas generados,Max de Comètes à Faire Apparaître,Maksimum Komet untuk Muncul,Max Comete da Generare,生成する最大彗星数,생성할 최대 혜성 수,Maksymalna Liczba Komety do Pojawienia się,Máximos Cometas a Gerar,Максимальное количество комет для спавна,สูงสุดดาวหางที่เกิดขึ้น,Doğacak Maksimum Kuyruklu Yıldız,Số Sao Chổi Tối Đa,最大生成彗星数
MAX_STAR_SIZE,Star Size,Mida d'Estrella,Velikost Hvězdy,Größe der Sterne,Tamaño de las Estrellas,Taille d'Étoile,Ukuran Bintang,Dimensione della Stella,星のサイズ,별 크기,Rozmiar Gwiazdy,Tamanho da Estrela,Размер звезды,ขนาดดาว,Yıldız Boyutu,Kích Thước Sao,恒星大小
WEDNESDAY,Wednesday,Dimecres,Středa,Mittwoch,Miércoles,Mercredi,Rabu,Mercoledì,水曜日,수요일,Środa,Quarta-feira,Среда,วันพุธ,Çarşamba,Thứ tư,星期三
COMETS_COLLECTED_THIS_SESSION,Comets Collected,Cometes Recollits,Komety Sběr,Gesammelte Kometen,Cometas recogidos,Comètes Collectées,Komet Dikumpulkan,Comete Raccolte,収集した彗星,수집한 혜성,Zebrane Komety,Cometas Coletados,Собранные кометы,ดาวหางที่รวบรวมได้,Toplanan Kuyruklu Yıldızlar,Sao Chổi Được Thu Thập,收集的彗星
MILESTONE_8,The Singularity Milestone,Fita de la Singularitat,Milník Singularita,Das Singularität Meilenstein,"Hito ""La singularidad""",Étape de la Singularité,Tonggak Singularity,Milestone della Singolarità,特異点マイルストーン,특이점 이정표,Czarna Dziura Singularność Milestone,Marco da Singularidade,Веха сингуларности,เหตุการณ์สำคัญหลุมดำอันมหาศาล,Tekillik Eşiği,Mốc Đặc Tính,奇点里程碑
FEBRUARY_SHORT,Dec,Des,Pro,Feb,Feb,Déc,Des,Dic,12月,12월,Gru,Dez,Дек,ธ.ค.,Ara,Th12,12月
MATTER,Asteroid Matter,Matèria d'Asteroide,Asteroidní Materie,Asteroidenmaterie,Materia asteroidal,Matière d'Astéroïde,Materi Asteroid,Materia di Asteroidi,小惑星物質,소행성 물질,Materiał Asteroidów,Matéria de Asteroide,Материя астероидов,สสารดาวเคราะห์น้อย,Asteroit Maddesi,Vật Chất Asteroid,小行星物质
END SESSION,End Session,Finalitzar Sessió,Ukončit Relaci,Sitzung beenden,Terminar sesión,Fin de Session,Akhiri Sesi,Termina Sessione,セッションを終了,세션 종료,Zakończ Sesję,Encerrar Sessão,Закончить сессию,สิ้นสุดเซสชัน,Oturumu Sonlandır,Kết Thúc Phiên,结束会话
UFO_MAX_NUMBER_TO_SPAWN,Max UFOs to Spawn,Màxim d'OVNIs a Generar,Max. UFO k Vytvoření,Maximale UFOs zu spawnen,Número máximo de OVNIS generados,Max d'OVNIs à Faire Apparaître,Maksimum UFO untuk Muncul,Max UFO da Generare,生成する最大UFO数,생성할 최대 UFO 수,Maksymalna Liczba UFO do Pojawienia się,Máximos UFOs a Gerar,Максимальное количество НЛО для спавна,สูงสุด UFO ที่เกิดขึ้น,Doğacak Maksimum UFO,Số UFO Tối Đa,最大生成 UFO 数
ASTEROIDS_PERCENT_TO_RESPAWN_ON_BLACK_HOLE_GROW,Asteroids Spawned when the Black Hole Grows,Asteroides Generats quan el Forat Negre Creix,"Asteroidy Vytvořené, když se Černá Dírka Zvětší","Asteroiden, die entstehen, wenn das Schwarze Loch wächst",Asteroides generados cuando el Agujero negro crece,Astéroïdes Apparus lorsque le Trou Noir Grandit,Asteroid yang Muncul saat Lubang Hitam Membesar,Asteroidi Generati quando il Buco Nero Cresce,ブラックホールが成長する際に生成される小惑星,블랙홀 성장 시 생성되는 소행성 수,"Asteroidy Pojawione, gdy Czarna Dziura Rośnie",Asteroides Gerados quando o Buraco Negro Cresce,"Астероиды, появляющиеся при росте черной дыры",ดาวเคราะห์น้อยที่เกิดขึ้นเมื่อหลุมดำเติบโต,Kara Delik Büyüdüğünde Doğmuş Asteroitler,Asteroid Sinh Ra Khi Lỗ Đen Tăng Trưởng,黑洞增长时生成的小行星
ASTEROIDS_DESTROYED_THIS_SESSION,Asteroids Destroyed,Asteroides Destruïts,Asteroidy Zničeny,Zerstörte Asteroiden,Asteroides destruidos,Astéroïdes Détruits,Asteroid Dihancurkan,Asteroidi Distrutti,破壊された小惑星,파괴된 소행성,Zniszczone Asteroidy,Asteroides Destruídos,Уничтоженные астероиды,ดาวเคราะห์น้อยที่ถูกทำลาย,Yok Edilen Asteroitler,Asteroid Bị Phá Hủy,摧毁的小行星
BLACK_HOLE_NAME_19,The Black Hole Must Grow,El Forat Negre Ha de Créixer,Černá Dírka Musí Růst,Das Schwarze Loch muss wachsen,El Agujero negro ha de crecer,Le Trou Noir Doit Grandir,Lubang Hitam Harus Tumbuh,Il Buco Nero Deve Crescere,ブラックホールは成長しなければならない,블랙홀은 성장해야 합니다,Czarna Dziura Musi Rość,O Buraco Negro Deve Crescer,Черная дыра должна расти,หลุมดำต้องเติบโต,Kara Delik Büyümeli,Lỗ Đen Phải Tăng Trưởng,黑洞必须增长
MILESTONE_2,The Black Hole Must Grow Milestone,Fita de Creixement del Forat Negre,Milník Černá Dírka Musí Růst,Das Schwarze Loch muss wachsen Meilenstein,"Hito ""El Agujero negro ha de crecer""",Étape de Grandissement du Trou Noir,Tonggak Lubang Hitam Harus Tumbuh,Milestone Il Buco Nero Deve Crescere,ブラックホールは成長しなければならないマイルストーン,블랙홀 성장해야 하는 이정표,Czarna Dziura Musi Rość Milestone,Marco do Crescimento do Buraco Negro,Веха черной дыры должна расти,หลุมดำต้องเติบโตเหตุการณ์สำคัญ,Kara Delik Büyümeli Eşiği,Mốc Lỗ Đen Phải Tăng Trưởng,黑洞必须增长里程碑
BLACK_HOLE_NAME_18,That's No Moon Black Hole,Això No És la Lluna Forat Negre,To Není Měsíc Černá Dírka,Das ist kein Mond Schwarzes Loch,"No es una Luna, es un Agujero negro",Ce N'est Pas une Lune Trou Noir,Itu Bukan Bulan Lubang Hitam,Questo Non è un Buco Nero,それは月ではないブラックホール,저건 달이 아니야 블랙홀,To Nie Księżyc Czarna Dziura,Isso Não é uma Lua Buraco Negro,Это не луна черная дыра,นั่นไม่ใช่ดวงจันทร์หลุมดำ,Bu Bir Ay Değil Kara Delik,Đó Không Phải Là Một Mặt Trăng Lỗ Đen,那不是月球黑洞
